"subject"	"utterance"	"annotation"
system	dzień dobry. jestem systemem obsługi sklepu spozywczego, w czym moge pomoc?	welcomemsg()
user	chciałbym zakupić bagietkę czosnkową i do tego napój aloesowy	inform(productname=bagietka_czosnkowa,productname=napój_aloesowy)
system	dodaje bagietke czosnkową. napoj aloesowy w pojemnosci 0,5 czy 1 litr?	inform(productname=bagietka)&request(type=napój_aloesowy)
user	2 razy 1 litr	inform(type=1l,count=2)
system	dodaje 2x npoj aleoswy 1litr. czy cos jeszcze chcesz zamowic?	inform(productname=napój_aloesowy,type=1l,count=2)
user	Nie, dziękuję. Jeszcze mam sporo sklepów do odwiedzenia.	negate()
system	czy chcesz przejsc do finalizacji zamówienia?	request(payment)
user	Tak, proszę.	affirm()
system	podaj adres zamowienia	request(adress)
user	Chatbota spożywczego 24/7	inform(adress=chatbota_spożywczego_24/7)
system	czy masz nasza karte lojalnosciową?	request(card)
user	Nie mam, na razie podziękuję	negate()
system	przyjmuje adres zamowienia. przekierowuje do systemu płatności. Nie zamykaj okna czatu. gdy płatność przebiegnie pomy�lnie, poinformuje cię o tym tutaj	inform(payment)
user	**blik blik**	null()
system	Płatność została zrealizowana. Czy coś jeszcze mogę dla ciebie zrobić?	offer()
user	To wszystko, dziękuje. Super sklep!	negate()
system	To miłe. dziekuje i do zobaczenia	bye()
user	Do zobaczenia!	bye()
